 Activity_Type , Date , Title , Distance , Time , Avg_HR , Avg_Pace 
 treadmill_running , 2018-06-04 , Treadmill Running , 3.11 , 1886 , 136 , 605 
 running , 2018-06-03 , Iredell County Running , 13.11 , 7385 , 163 , 563 
 running , 2018-06-01 , Charlotte Running , 6.21 , 3491 , 152 , 562 
 running , 2018-05-31 , Charlotte Running , 3.51 , 1925 , 163 , 549 
 running , 2018-05-31 , Charlotte Running , 0.51 , 311 , 153 , 614 
 running , 2018-05-30 , Charlotte Running , 4.07 , 2353 , 157 , 578 
 running , 2018-05-29 , Charlotte Running , 5.12 , 3114 , 147 , 608 
 running , 2018-05-28 , Iredell County Running , 4.01 , 2012 , 166 , 502 
 running , 2018-05-28 , Iredell County Running , 1 , 623 , 157 , 624 
 running , 2018-05-27 , Iredell County Running , 5.5 , 3406 , 148 , 619 
 running , 2018-05-26 , Iredell County Running , 12 , 7327 , 147 , 611 
 running , 2018-05-24 , Iredell County Running , 5 , 2612 , 159 , 522 
 running , 2018-05-23 , Iredell County Running , 3 , 1913 , 141 , 638 
 running , 2018-05-22 , Iredell County Running , 4 , 2226 , 157 , 556 
 running , 2018-05-21 , Charlotte Running , 5.5 , 3214 , 150 , 584 
 running , 2018-05-20 , Iredell County Running , 3 , 1957 , 152 , 653 
 running , 2018-05-19 , Iredell County Running , 11.63 , 7212 , 158 , 620 
 running , 2018-05-18 , Charlotte Running , 4.5 , 2274 , 162 , 505 
 running , 2018-05-18 , Charlotte Running , 0.25 , 121 , 140 , 482 
 running , 2018-05-17 , Charlotte Running , 4 , 2378 , 151 , 594 
 track_running , 2018-05-16 , Davidson n track workout , 3.5 , 0:00 , -- , -- 
 running , 2018-05-14 , Iredell County Running , 5 , 2996 , 148 , 599 
 running , 2018-05-12 , Iredell County Running , 5 , 3159 , 151 , 632 
 running , 2018-05-11 , Iredell County Running , 1.02 , 462 , 164 , 454 
 running , 2018-05-11 , Iredell County Running , 3.4 , 2037 , 146 , 599 
 running , 2018-05-07 , Iredell County Running , 1 , 660 , 135 , 662 
 running , 2018-05-07 , Iredell County Running , 2 , 1007 , 159 , 504 
 running , 2018-05-07 , Iredell County Running , 0.35 , 180 , 144 , 521 
 running , 2018-05-07 , Iredell County Running , 0.25 , 109 , 158 , 438 
 running , 2018-05-07 , Iredell County Running , 0.51 , 296 , 149 , 586 
 running , 2018-05-06 , Iredell County Running , 7.08 , 4647 , 152 , 656 
 running , 2018-05-05 , Iredell County Running , 6 , 3852 , 153 , 642 
 running , 2018-05-04 , Charlotte Running , 1.48 , 750 , 161 , 505 
 running , 2018-05-04 , Charlotte Running , 2.01 , 969 , 163 , 483 
 running , 2018-05-02 , Charlotte Running , 5 , 3425 , 138 , 685 
 track_running , 2018-05-01 , Davidson Running , 0.25 , 2:23.8 , 140 , 9:25 
 track_running , 2018-05-01 , Davidson Running , 0.05 , 0:16.6 , 115 , 5:11 
 track_running , 2018-05-01 , Davidson Running , 0.06 , 0:19.7 , 131 , 5:27 
 track_running , 2018-05-01 , Davidson Running , 0.05 , 0:15.2 , 117 , 4:41 
 track_running , 2018-05-01 , Davidson Running , 0.06 , 0:14.9 , 110 , 4:30 
 track_running , 2018-05-01 , Davidson Running , 0.13 , 0:41.4 , 126 , 5:26 
 track_running , 2018-05-01 , Davidson Running , 0.13 , 0:43.3 , 135 , 5:26 
 track_running , 2018-05-01 , Davidson Running , 0.13 , 0:38.5 , 135 , 5:05 
 track_running , 2018-05-01 , Davidson Running , 0.14 , 0:42.9 , 120 , 5:13 
 track_running , 2018-05-01 , Davidson Running , 0.19 , 1:13.5 , 138 , 6:26 
 track_running , 2018-05-01 , Davidson Running , 0.19 , 1:16.7 , 134 , 6:52 
 track_running , 2018-05-01 , Davidson Running , 0.2 , 1:20.2 , 129 , 6:42 
 track_running , 2018-05-01 , Davidson Running , 0.2 , 1:21.4 , 130 , 6:50 
